address,latitude,longitude,kreis_name
"Stadelhoferstrasse 10, 8001",47.366789,8.5480012,Kreis 1
"Mythenquai 353, 8038",47.3454695,8.5348892,Kreis 2
"Albisstrasse 81, 8038",47.3408679,8.5306629,Kreis 2
"Witikonerstrasse 279, 8053",47.3587312,8.585599,Kreis 7
"Sihlstrasse 3, 8001",47.37372690000001,8.5376525,Kreis 1
"Zollstrasse 58, 8005",47.3808521,8.5333122,Kreis 5
"Badenerstrasse 565, 8048",47.3837927,8.497718299999999,Kreis 9
"Hohlstrasse 473, 8048",47.3882306,8.4967895,Kreis 9
"Baumackerstrasse 35, 8050",47.4087199,8.5439058,Kreis 11
"Überlandstrasse 441, 8051",47.4059625,8.5918852,Kreis 12
"Binzmühlestrasse 102, 8050",47.4138021,8.5388199,Kreis 11
"Schärenmoosstrasse 77, 8052",47.4194964,8.5568302,Kreis 11
