store,address,latitude,longitude,Kreis,Kreis Area (km^2),Kreis Population,Kreis Density (population/km^2),Median value of taxable income
aldi,"Stadelhoferstrasse 10, 8001",47.366789,8.5480012,1,1.8,5817,3232,76.38
aldi,"Sihlstrasse 3, 8001",47.37372690000001,8.5376525,1,1.8,5817,3232,76.38
coop,"Bahnhofbrücke 1, 8001",47.3764584,8.5423575,1,1.8,5817,3232,76.38
coop,"Halle Löwenstrasse, 8021",47.3780422,8.539066799999999,1,1.8,5817,3232,76.38
coop,"Stadelhoferstrasse 10, 8001",47.366789,8.5480012,1,1.8,5817,3232,76.38
coop,"Theaterstrasse 18, 8024",47.3672717,8.5461092,1,1.8,5817,3232,76.38
coop,"Bärengasse 16, 8001",47.3700716,8.5371123,1,1.8,5817,3232,76.38
coop,"Bahnhofstrasse 57, 8001",47.3728798,8.5380649,1,1.8,5817,3232,76.38
lidl,"Fraumünsterstrasse 16, 8001",47.368829,8.54107,1,1.8,5817,3232,76.38
migros,"Falkenstrasse 19 - 21, 8008",47.36545230000001,8.5478692,1,1.8,5817,3232,76.38
migros,"Löwenstrasse 31 - 35, 8001",47.37538319999999,8.5360797,1,1.8,5817,3232,76.38
migros,"Hauptbahnhof, 8001",47.3781458,8.540251699999999,1,1.8,5817,3232,76.38
migros,"Shop Ville, 8001",47.3783642,8.5383585,1,1.8,5817,3232,76.38
aldi,"Mythenquai 353, 8038",47.3454695,8.5348892,2,11.07,36025,3254,68.53
aldi,"Albisstrasse 81, 8038",47.3408679,8.5306629,2,11.07,36025,3254,68.53
coop,"Leimbachstrasse 200, 8041",47.3262341,8.514298499999999,2,11.07,36025,3254,68.53
coop,"Seestrasse 339, 8038",47.3472003,8.5331497,2,11.07,36025,3254,68.53
coop,"Bleicherweg 19, 8002",47.3677755,8.535716299999999,2,11.07,36025,3254,68.53
coop,"Tessinerplatz 10, 8002",47.364369,8.530935399999999,2,11.07,36025,3254,68.53
coop,"Alte Kalchbühlstrasse 15, 8038",47.3399334,8.5307593,2,11.07,36025,3254,68.53
migros,"Etzelstrasse 3, 8038",47.344553,8.5301759,2,11.07,36025,3254,68.53
migros,"Leimbachstrasse 23, 8041",47.3360431,8.518949,2,11.07,36025,3254,68.53
migros,"Stockerstrasse 47, 8002",47.3682909,8.5341115,2,11.07,36025,3254,68.53
migros,"Tessinerplatz 10, 8002",47.364369,8.530935399999999,2,11.07,36025,3254,68.53
aldi,"Witikonerstrasse 279, 8053",47.3587312,8.585599,7,15.02,38663,2574,89.27
coop,"Witikonerstrasse 409, 8053",47.3602128,8.5946664,7,15.02,38663,2574,89.27
coop,"Klosbachstrasse 104, 8032",47.3678338,8.5608684,7,15.02,38663,2574,89.27
coop,"Zürichbergstrasse 75, 8044",47.3763974,8.559651299999999,7,15.02,38663,2574,89.27
migros,"Toblerstrasse 73, 8044",47.3794015,8.5594339,7,15.02,38663,2574,89.27
migros,"Kreuzplatz 20, 8008",47.3648162,8.554096399999999,7,15.02,38663,2574,89.27
migros,"Witikonerstrasse 293, 8053",47.3588321,8.5857692,7,15.02,38663,2574,89.27
aldi,"Zollstrasse 58, 8005",47.3808521,8.5333122,5,1.99,15804,7942,71.07
coop,"Zollstrasse 42, 8005",47.3805215,8.5348598,5,1.99,15804,7942,71.07
coop,"Röntgenstrasse 48, 8005",47.3847527,8.527192099999999,5,1.99,15804,7942,71.07
coop,"Maschinenstrasse 10, 8005",47.3875317,8.5168082,5,1.99,15804,7942,71.07
coop,"Giessereistrasse 18, 8005",47.3905,8.517844,5,1.99,15804,7942,71.07
coop,"Pfingstweidstrasse 106, 8005",47.391393,8.5076692,5,1.99,15804,7942,71.07
