address,latitude,longitude,kreis_name
"Winterthurerstrasse 2 - 4, 8006",47.3860795,8.5487063,Kreis 6
"Falkenstrasse 19 - 21, 8008",47.36545230000001,8.5478692,Kreis 1
"Giesshübelstrasse 65, 8045",47.35826350000001,8.5177964,Kreis 3
"Toblerstrasse 73, 8044",47.3794015,8.5594339,Kreis 7
"Kreuzplatz 20, 8008",47.3648162,8.554096399999999,Kreis 7
"Seefeldstrasse 111 - 113, 8008",47.358365,8.5541587,Kreis 8
"Albisriederstrasse 365, 8047",47.3751456,8.4856275,Kreis 9
"Altstetterstrasse 145, 8048",47.3883056,8.4875973,Kreis 9
"Hohlstrasse 600, 8048",47.391489,8.4874789,Kreis 9
"Regensdorferstrasse 20, 8049",47.403772,8.4974444,Kreis 10
"Hofwiesenstrasse 350 - 354, 8050",47.4105681,8.542987,Kreis 11
"Etzelstrasse 3, 8038",47.344553,8.5301759,Kreis 2
"Forchstrasse 260, 8008",47.357709,8.5710728,Kreis 8
"Winterthurerstrasse 524, 8051",47.403942,8.572517399999999,Kreis 12
"Leimbachstrasse 23, 8041",47.3360431,8.518949,Kreis 2
"Schaffhauserstrasse 470, 8052",47.419507,8.5484557,Kreis 11
"Jonas-Furrer-Strasse 21, 8046",47.4203349,8.508801199999999,Kreis 11
"Witikonerstrasse 293, 8053",47.3588321,8.5857692,Kreis 7
"Wengistrasse 7, 8004",47.3749724,8.5230257,Kreis 4
"Sihlpassage, 8004",47.3784015,8.535615,Kreis 4
"Zollstrasse 6, 8005",47.3798176,8.5369492,Kreis 5
"Löwenstrasse 31 - 35, 8001",47.37538319999999,8.5360797,Kreis 1
"Limmatstrasse 152, 8005",47.38587829999999,8.5312854,Kreis 5
"Hauptbahnhof, 8001",47.3781458,8.540251699999999,Kreis 1
"Shop Ville, 8001",47.3783642,8.5383585,Kreis 1
"Birmensdorferstrasse 140, 8003",47.3701818,8.520143599999999,Kreis 3
"Stockerstrasse 47, 8002",47.3682909,8.5341115,Kreis 2
"Badenerstrasse 376, 8004",47.37910189999999,8.5087853,Kreis 4
"Hardturmstrasse 11, 8005",47.3913439,8.5184888,Kreis 5
"Tessinerplatz 10, 8002",47.364369,8.530935399999999,Kreis 2
"Birmensdorferstrasse 320, 8055",47.3698928,8.5083039,Kreis 3
"Scheffelstrasse 3, 8037",47.3937726,8.5292338,Kreis 10
"Schaffhauserstrasse 75, 8057",47.3926141,8.5384939,Kreis 6
