;Total;0 – 9;10 – 19;20 – 29;30 – 39;40 – 49;50 – 59;60 – 69;70 – 79;80 – 89;90 – 99;100 und älter
Ganze Stadt; 505 500; 46 500; 40 700; 81 350; 98 700; 78 500; 60 900; 44 050; 30 800; 18 050; 5 750;  200
Kreis 1; 5 950;  300;  300; 1 150; 1 300;  850;  600;  550;  450;  300;  100;–
Kreis 2; 42 450; 4 700; 4 650; 5 100; 6 750; 7 300; 5 650; 3 600; 2 550; 1 600;  600;  50
Wollishofen; 23 650; 2 550; 2 750; 2 450; 3 250; 4 300; 3 400; 2 050; 1 550;  950;  350;–
Leimbach; 7 850;  900;  950; 1 000; 1 150; 1 200;  950;  750;  500;  300;  100;–
Enge; 10 950; 1 250;  900; 1 650; 2 350; 1 800; 1 250;  800;  500;  350;  150;–
Kreis 3; 57 100; 5 150; 4 050; 9 900; 13 050; 8 500; 6 250; 4 600; 3 100; 1 850;  600;–
Alt-Wiedikon; 20 100; 1 850; 1 300; 3 850; 5 200; 3 000; 1 950; 1 450;  850;  450;  100;–
Friesenberg; 13 800; 1 400; 1 500; 1 900; 2 100; 1 800; 1 700; 1 500; 1 050;  650;  200;–
Sihlfeld; 23 250; 1 900; 1 300; 4 150; 5 750; 3 700; 2 600; 1 650; 1 200;  750;  300;–
Kreis 4; 31 650; 2 250; 1 300; 5 850; 8 300; 5 650; 3 550; 2 400; 1 500;  700;  100;–
Werd; 4 850;  450;  250;  850; 1 300;  800;  500;  350;  250;  100;–;–
Langstrasse; 12 500;  650;  150; 2 400; 3 750; 2 350; 1 350; 1 000;  600;  200;–;–
Hard; 14 350; 1 200;  900; 2 650; 3 250; 2 500; 1 700; 1 000;  700;  350;  50;–
Kreis 5; 19 100; 1 400;  950; 3 300; 4 850; 3 150; 2 250; 1 650; 1 000;  450;  100;–
Gewerbeschule; 10 250;  700;  450; 1 850; 2 600; 1 550; 1 050;  950;  650;  300;  100;–
Escher Wyss; 8 850;  700;  500; 1 450; 2 250; 1 550; 1 200;  700;  350;  100;–;–
Kreis 6; 39 150; 3 600; 3 300; 7 150; 7 850; 5 650; 4 350; 3 450; 2 300; 1 200;  250;–
Unterstrass; 27 550; 2 700; 2 500; 5 000; 5 600; 4 000; 3 000; 2 300; 1 550;  750;  150;–
Oberstrass; 11 550;  900;  850; 2 150; 2 200; 1 650; 1 350; 1 150;  750;  450;  100;–
Kreis 7; 43 700; 4 000; 3 800; 5 850; 6 750; 6 000; 5 550; 4 650; 3 450; 2 500; 1 050;  50
Fluntern; 9 850;  850; 1 000; 1 400; 1 200; 1 250; 1 400; 1 200;  850;  500;  200;–
Hottingen; 12 350; 1 100;  950; 1 850; 2 250; 1 700; 1 500; 1 300;  900;  650;  200;–
Hirslanden; 8 250;  650;  500; 1 150; 1 650; 1 200;  950;  800;  600;  500;  250;–
Witikon; 13 300; 1 350; 1 350; 1 450; 1 700; 1 850; 1 750; 1 400; 1 100;  850;  400;–
Kreis 8; 19 300; 1 550; 1 500; 2 750; 3 600; 3 000; 2 500; 1 950; 1 350;  850;  300;–
Seefeld; 6 050;  550;  500;  900; 1 200;  900;  750;  600;  400;  200;  50;–
Mühlebach; 6 850;  500;  450;  900; 1 300; 1 150;  950;  750;  450;  300;  100;–
Weinegg; 6 450;  500;  550;  950; 1 050;  950;  750;  650;  500;  350;  150;–
Kreis 9; 66 800; 6 400; 5 500; 8 850; 12 200; 12 050; 9 000; 5 700; 4 000; 2 400;  700;  50
Albisrieden; 26 150; 2 500; 2 400; 3 400; 4 100; 4 350; 3 750; 2 400; 1 700; 1 150;  400;–
Altstetten; 40 650; 3 900; 3 050; 5 400; 8 150; 7 700; 5 300; 3 300; 2 300; 1 250;  350;–
Kreis 10; 45 000; 3 900; 3 800; 6 800; 7 850; 6 450; 5 750; 4 450; 3 200; 1 950;  800;  50
Höngg; 27 050; 2 500; 2 650; 3 950; 4 050; 3 750; 3 500; 2 750; 2 050; 1 250;  500;–
Wipkingen; 17 900; 1 350; 1 150; 2 800; 3 800; 2 700; 2 250; 1 650; 1 100;  700;  300;–
Kreis 11; 93 150; 8 950; 7 650; 17 300; 18 500; 13 900; 10 650; 7 550; 5 200; 2 750;  650;–
Affoltern; 30 850; 3 200; 3 100; 5 800; 5 400; 4 050; 3 600; 2 650; 1 850; 1 000;  200;–
Oerlikon; 27 700; 2 250; 1 750; 5 950; 6 200; 4 150; 2 950; 2 050; 1 400;  750;  250;–
Seebach; 34 550; 3 550; 2 800; 5 550; 6 900; 5 750; 4 050; 2 850; 1 950; 1 000;  200;–
Kreis 12; 42 100; 4 300; 3 900; 7 350; 7 700; 6 000; 4 800; 3 500; 2 600; 1 500;  450;–
Saatlen; 11 400; 1 250; 1 300; 2 000; 2 050; 1 650; 1 350;  900;  550;  300;  50;–
Schwamendingen-Mitte; 13 750; 1 250; 1 000; 2 750; 2 900; 1 950; 1 500; 1 050;  800;  400;  100;–
Hirzenbach; 16 950; 1 800; 1 550; 2 600; 2 800; 2 400; 1 950; 1 500; 1 200;  850;  300;–
